"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","score"
0,6.1339389684055,0.393,0.011,0,"Radial glia","LRP4",2.3431646859309
2.36511083326451e-234,4.88241528954171,0.509,0.032,8.62910687516555e-230,"Radial glia","ARHGAP42",2.32891209311139
1.43335018305351e-141,3.49151587379391,0.84,0.183,5.22957814287074e-137,"Radial glia","MSI2",2.2939259290826
1.76179109088463e-220,4.49132976262687,0.546,0.039,6.42789479509258e-216,"Radial glia","ZFHX4",2.27710418965182
5.16441228264037e-281,5.62783571366326,0.417,0.016,1.88423582132134e-276,"Radial glia","ADAMTS6",2.25676212117897
2.36851806645563e-149,3.1954269499595,0.951,0.256,8.64153816546336e-145,"Radial glia","PTPRZ1",2.22082173022185
1.95812035069023e-183,4.41428546632825,0.552,0.05,7.14420209949331e-179,"Radial glia","KAT2B",2.21597130409678
0,5.98160141373245,0.374,0.009,0,"Radial glia","GLI3",2.18328451601234
7.90344540306557e-166,3.98772179217019,0.613,0.069,2.88357205530847e-161,"Radial glia","SLC4A4",2.16932065494058
3.33934960563224e-226,5.12774408632799,0.448,0.025,1.21836170361492e-221,"Radial glia","AQP4",2.16903574851674
0,6.44236188069767,0.344,0.008,0,"Radial glia","GRAMD2B",2.16463359191442
0,5.82728068481081,0.38,0.011,0,"Radial glia","AASS",2.15026657269519
1.21213210956301e-216,4.95492519676076,0.46,0.027,4.42246400174062e-212,"Radial glia","VIM",2.14548261019741
0,6.25908287289244,0.344,0.008,0,"Radial glia","SLCO1C1",2.10305184529186
9.11452272796297e-179,4.09341428589378,0.564,0.052,3.32543361729729e-174,"Radial glia","CECR2",2.09582811437761
7.5223078077776e-186,4.78152914463651,0.472,0.035,2.74451400366766e-181,"Radial glia","FOXO1",2.08952823620616
2.93065369824108e-279,5.78282448031656,0.374,0.013,1.06924900180326e-274,"Radial glia","ALDH1L1",2.08759963739428
0,6.10580934885161,0.35,0.009,0,"Radial glia","ZFP36L2",2.0820809879584
3.14199079224253e-124,3.62083188018762,0.687,0.124,1.14635534054969e-119,"Radial glia","SPARCL1",2.03852834854563
1.05611810648196e-137,4.03668738955139,0.571,0.073,3.85324691149942e-133,"Radial glia","KANK1",2.01027031999659
1.03513135958133e-130,3.27150550725695,0.755,0.141,3.77667676543248e-126,"Radial glia","GPC5",2.00870438145577
5.17880809565837e-141,3.9095068865196,0.583,0.074,1.88948813370096e-136,"Radial glia","DOCK1",1.98993900523847
1.93976195264096e-306,5.93249233285391,0.344,0.009,7.07722148421054e-302,"Radial glia","CD9",1.98738493150606
2.95881807422128e-125,3.21226838839451,0.748,0.145,1.07952477437964e-120,"Radial glia","CDH20",1.93699783820189
5.2569727756054e-256,5.93316523105502,0.337,0.011,1.91800651717963e-251,"Radial glia","TCF7L1",1.93421186532394
2.07338423164913e-129,3.46375037395755,0.65,0.1,7.56474236917184e-125,"Radial glia","PTPRM",1.90506270567665
1.39888185602199e-194,5.11279462467398,0.393,0.022,5.10382045169622e-190,"Radial glia","SLC7A11",1.89684680575405
1.07822557493111e-133,2.86175799723022,0.982,0.337,3.93390601013617e-129,"Radial glia","NPAS3",1.84583390821349
7.749512229295e-189,5.10655515784379,0.38,0.021,2.82740953685828e-184,"Radial glia","APOLD1",1.83325330166592
8.80146744093037e-258,5.94101104082015,0.313,0.009,3.21121539582344e-253,"Radial glia","CDC14A",1.80606735640932
1.60248116849359e-245,5.80275786090795,0.319,0.01,5.84665254324885e-241,"Radial glia","GFAP",1.79305217902056
6.9001983957945e-152,4.28721907740888,0.454,0.039,2.51753738470562e-147,"Radial glia","PDE3A",1.77919591712468
1.09498521054064e-140,4.31844186879473,0.454,0.043,3.99505354065752e-136,"Radial glia","STK3",1.77487960807464
5.84291688161935e-119,2.71416663420895,0.804,0.16,2.13178822425882e-114,"Radial glia","ERBB4",1.74792331243057
2.54126008540143e-216,5.37575857444447,0.337,0.014,9.27178742158712e-212,"Radial glia","BCAN",1.73637001954556
