"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","score"
2.72481337026128e-47,2.28659732792237,0.326,0.138,9.9414815813983e-43,"EN-Newborn","SVEP1",0.429880297649406
3.3763398938632e-80,4.37997607357699,0.1,0.01,1.23185761027599e-75,"EN-Newborn","IFI44",0.39419784662193
1.7875734926315e-42,2.62026950955213,0.216,0.07,6.52196188786602e-38,"EN-Newborn","ITGA8",0.382559348394611
1.52058972972096e-116,1.58767066795403,0.759,0.528,5.54787162888692e-112,"EN-Newborn","EPHA3",0.366751924297381
3.33022621728868e-48,1.87092376789019,0.455,0.266,1.21503303537778e-43,"EN-Newborn","CDH4",0.353604592131247
4.97614500668203e-31,1.87567171813001,0.376,0.227,1.81554650568794e-26,"EN-Newborn","LINC01572",0.279475086001372
2.55430456275225e-26,2.11482421411012,0.25,0.121,9.31938019720157e-22,"EN-Newborn","NRP2",0.272812323620205
1.8053174388804e-132,1.13124764199944,0.867,0.634,6.58670067575512e-128,"EN-Newborn","AL589740.1",0.263580700585869
9.03475994946746e-37,1.76520138491435,0.443,0.294,3.2963321675632e-32,"EN-Newborn","SOX11",0.263015006352238
6.25759055716366e-38,1.58758558872147,0.451,0.286,2.28308191478116e-33,"EN-Newborn","EPS8",0.261951622139042
9.18236145772946e-23,2.35966030476536,0.197,0.087,3.35018457785259e-18,"EN-Newborn","SLCO5A1",0.25956263352419
4.41198634599043e-24,2.5440356933504,0.16,0.06,1.60971321833461e-19,"EN-Newborn","NINL",0.25440356933504
6.18674855184402e-132,1.45403019083137,0.811,0.639,2.25723520914029e-127,"EN-Newborn","MIR100HG",0.250093192822996
2.12894760117241e-19,1.97118231600421,0.249,0.137,7.76746532287755e-15,"EN-Newborn","ZFHX4",0.220772419392471
1.17285717114175e-19,2.99459871376385,0.102,0.032,4.27916938891069e-15,"EN-Newborn","EPCAM-DT",0.20962190996347
2.88433074586517e-21,2.90315793054825,0.104,0.032,1.05234807262891e-16,"EN-Newborn","ABCA1",0.209027370999474
2.55804172539671e-27,1.62499304189067,0.399,0.271,9.33301523510991e-23,"EN-Newborn","GLRA2",0.207999109362005
4.91229000755703e-18,2.0074523558443,0.173,0.079,1.79224900925718e-13,"EN-Newborn","SLC1A3",0.188700521449364
4.29375558163661e-17,2.29280916012013,0.135,0.055,1.56657672396012e-12,"EN-Newborn","AMOTL1",0.18342473280961
4.70361384441408e-24,1.51576795456796,0.397,0.28,1.71611351113448e-19,"EN-Newborn","SLA",0.177344850684451
3.09468121421079e-53,1.20020171133248,0.63,0.485,1.12909444100481e-48,"EN-Newborn","GNAL",0.17402924814321
1.35351199217946e-19,1.40146271990321,0.27,0.146,4.93828850346678e-15,"EN-Newborn","ITPR2",0.173781377267998
1.20354589433261e-18,1.56941135059594,0.31,0.2,4.39113719547253e-14,"EN-Newborn","ST8SIA2",0.172635248565553
1.10491556190212e-133,1.25867787665948,0.838,0.703,4.03128442759987e-129,"EN-Newborn","TTC28",0.16992151334903
5.16309485579801e-25,1.39343101682003,0.424,0.304,1.88375515813791e-20,"EN-Newborn","BCL2",0.167211722018404
5.16907118756297e-13,1.93684481693632,0.2,0.117,1.88593562278235e-08,"EN-Newborn","EZH2",0.160758119805715
2.33698291673665e-48,1.07108093283754,0.636,0.486,8.52648217171365e-44,"EN-Newborn","DSCAML1",0.160662139925631
2.09971340076397e-13,1.84116813569016,0.235,0.148,7.66080434268735e-09,"EN-Newborn","BCL9",0.160181627805044
2.44054634381652e-14,2.13766002518743,0.133,0.059,8.90433333541459e-10,"EN-Newborn","FBXL7",0.15818684186387
2.94617145812336e-13,2.15395291352683,0.135,0.063,1.07491065649631e-08,"EN-Newborn","KLHL14",0.155084609773931
