"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","score"
7.89227391356869e-15,1.38713105211583,0.313,0.098,2.87949613736554e-10,"EN-Mature","HES4",0.298233176204904
5.83063515103674e-17,1.16766201076489,0.434,0.179,2.12730723485575e-12,"EN-Mature","NPY1R",0.297753812745048
4.30305268556759e-18,1.07606314221109,0.436,0.16,1.56996877232933e-13,"EN-Mature","CHURC1",0.29699342725026
1.06029436307046e-16,1.16108691527135,0.408,0.153,3.86848398366256e-12,"EN-Mature","AL138828.1",0.296077163394193
1.47281117463925e-17,1.13807865045058,0.416,0.156,5.3735515706713e-13,"EN-Mature","FAM174A",0.295900449117151
1.06188996306978e-13,1.46974001498899,0.295,0.094,3.87430553026009e-09,"EN-Mature","AC087854.1",0.295417743012787
6.92073866696471e-19,1.07768909612175,0.469,0.195,2.52503150264208e-14,"EN-Mature","GSTO1",0.29528681233736
3.21023060228975e-15,1.29263874233588,0.361,0.137,1.17125263524542e-10,"EN-Mature","AL133166.1",0.289551078283237
4.36178122214669e-15,1.26994746217592,0.358,0.13,1.59139587890022e-10,"EN-Mature","ST8SIA4",0.28954802137611
1.07102854181445e-17,1.03085213797235,0.466,0.186,3.90764763481001e-13,"EN-Mature","DUT",0.288638598632258
1.52381222671262e-14,1.31155489202761,0.347,0.127,5.559628909161e-10,"EN-Mature","VAV3",0.288542076246073
9.59789577346667e-18,1.0808491386744,0.419,0.153,3.50179227294932e-13,"EN-Mature","SPOCK2",0.287505870887391
5.00221584477076e-18,1.01386468293126,0.474,0.192,1.82505845096461e-13,"EN-Mature","PIP4P2",0.285909840586614
1.37485917011652e-10,2.02455311751715,0.168,0.029,5.01617368217012e-06,"EN-Mature","PCDH20",0.281412883334884
5.97656771639024e-12,1.79615802176693,0.189,0.033,2.18055073132498e-07,"EN-Mature","CCDC184",0.280200651395641
1.34347670187081e-11,1.67779049567822,0.229,0.062,4.90167474677564e-07,"EN-Mature","SLC22A24",0.280191012778262
1.0121813079015e-13,1.36250040200455,0.299,0.094,3.69294350187864e-09,"EN-Mature","TRAPPC1",0.279312582410932
1.20939163656263e-12,1.47942223849662,0.292,0.104,4.41246538599877e-08,"EN-Mature","AC093607.1",0.278131380837365
3.08519879125748e-14,1.28050507106629,0.324,0.107,1.12563477899029e-09,"EN-Mature","AC008780.1",0.277869600421386
1.60885840074257e-13,1.40221836407694,0.278,0.081,5.86991987510926e-09,"EN-Mature","ARHGAP29",0.276237017723157
5.31182479905448e-17,1.01523687034289,0.438,0.166,1.93801927793503e-12,"EN-Mature","AFF1",0.276144428733266
2.43001065999254e-17,1.03718120778628,0.409,0.143,8.86589389298278e-13,"EN-Mature","SLC30A3",0.27589020127115
3.18793715079386e-14,1.34571580349133,0.303,0.098,1.16311886946714e-09,"EN-Mature","TAF13",0.275871739715723
5.22626818548554e-17,1.06311164749355,0.412,0.153,1.9068039474744e-12,"EN-Mature","HS6ST2",0.27534591670083
7.07320802175324e-10,1.9778941578652,0.188,0.049,2.58065994673667e-05,"EN-Mature","AL589693.1",0.274927287943262
3.40578321264157e-17,1.06739115267054,0.417,0.16,1.24260000513228e-12,"EN-Mature","TMEM72-AS1",0.274319526236328
7.07355351172053e-15,1.23549639117633,0.326,0.104,2.58078599875123e-10,"EN-Mature","LINC02669",0.274280198841144
1.44000787794075e-17,1.03494654417039,0.42,0.156,5.25386874266683e-13,"EN-Mature","GNAI3",0.273225887660984
2.31548440949585e-15,1.17754333181571,0.388,0.156,8.44804486804561e-11,"EN-Mature","ARF5",0.273190052981244
6.27550952822244e-13,1.43025464642323,0.272,0.081,2.28961965137196e-08,"EN-Mature","PDCD2",0.273178637466837
5.99442165325116e-13,1.46012483563286,0.265,0.078,2.18706474018869e-08,"EN-Mature","SEMA7A",0.273043344263344
1.09989261169743e-14,1.23692964573626,0.34,0.121,4.01295819377807e-10,"EN-Mature","GOLIM4",0.27088759241624
2.52398955232365e-13,1.38915893813356,0.283,0.088,9.20877588165285e-09,"EN-Mature","AC068051.1",0.270885992936044
